Title,Milestone,Labels,Body
[EPIC] Foundation — walking skeleton,M1 — Foundation / Walking skeleton,"epic,module:platform","Stand up the solution, shared kernels, API host, Postgres and the architecture-test harness so host + auth + persistence demonstrably wire together before features (`10` build-order mapping).

**Acceptance criteria**
- [ ] All Phase-M1 issues closed
- [ ] `docker compose up -d postgres` + `dotnet run --project src/Filer.Api` boots with Swagger
- [ ] Architecture tests run green in CI

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 10 (Repository Layout, Build Order Mapping)_"
"Scaffold solution, build props and docker-compose",M1 — Foundation / Walking skeleton,"type:chore,module:platform","Create `Filer.sln`, `Directory.Build.props` (net10.0, nullable, warnings-as-errors), `Directory.Packages.props` (central NuGet versions), `.editorconfig` (file-scoped namespaces), and `docker-compose.yml` (api + postgres).

**Acceptance criteria**
- [ ] `Filer.sln` builds empty solution
- [ ] `Directory.Build.props` sets net10.0, nullable enable, warnings-as-errors
- [ ] `Directory.Packages.props` centralizes versions (no per-project pins)
- [ ] `.editorconfig` enforces file-scoped namespaces at build
- [ ] `docker compose up -d postgres` starts Postgres

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 10 (Repository Layout, Conventions), 11_"
Build Filer.SharedKernel primitives,M1 — Foundation / Walking skeleton,"type:infra,module:platform","Cross-cutting primitives shared by every module; depends on nothing else in the solution.

**Acceptance criteria**
- [ ] `Result`/`Result<T>` + `Error` types (`03` error shape)
- [ ] Paged envelope type (`items,page,pageSize,totalCount`)
- [ ] Base entity conventions: `Id`,`CreatedAt`,`UpdatedAt`,`DeletedAt`,`OwnerId`,`TenantId` (`02`)
- [ ] UTC clock abstraction
- [ ] Ownership/authorization marker interfaces
- [ ] Project references nothing else in the solution (enforced by architecture test)

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 10 (SharedKernel), 02, 03_"
Build Filer.WebKernel conventions,M1 — Foundation / Walking skeleton,"type:infra,module:platform","Shared ASP.NET Core web conventions every module's endpoints rely on.

**Acceptance criteria**
- [ ] `Error` -> RFC7807 problem-details mapping (`03`)
- [ ] Versioned route prefixes (`ApiRoutes.V1`)
- [ ] References `SharedKernel` + ASP.NET shared framework only; never a module or `*.Contracts` (ADR-006)

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 10 (WebKernel), 03_"
Stand up Filer.Api host / composition root,M1 — Foundation / Walking skeleton,"type:infra,module:platform","ASP.NET Core host: `Program.cs`, middleware pipeline, central exception handling, OpenAPI/Swagger, CORS, JWT auth wiring placeholder.

**Acceptance criteria**
- [ ] `Program.cs` wires middleware + central exception handler (broken-invariant exceptions only)
- [ ] Swagger/OpenAPI served in Development
- [ ] CORS configured
- [ ] Module registration entry-point pattern in place (`AddXModule`/`MapXEndpoints`)
- [ ] Contains no business logic

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 10 (Filer.Api), 08, 13_"
Add Filer.Architecture.Tests boundary harness,M1 — Foundation / Walking skeleton,"type:test,module:platform","Encode the dependency rules from `10` as executable tests (e.g. NetArchTest), run in CI.

**Acceptance criteria**
- [ ] No `Modules.X` references `Modules.Y` (only `*.Contracts`)
- [ ] No `*.Contracts` references EF Core or another module
- [ ] Nothing references `Filer.Api`
- [ ] Feature code references storage/AI only via their abstractions
- [ ] Tests fail on violation and run in CI

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 10 (Dependency Rules, Boundary Enforcement)_"
[EPIC] Authentication module,M2 — Authentication,"epic,module:auth","ASP.NET Core Identity + JWT bearer. Register/login/refresh/logout/me, plus the JWT-validation and ownership-check primitives every other module reuses.

**Acceptance criteria**
- [ ] All Phase-M2 issues closed
- [ ] `/auth/*` endpoints pass the `Filer.Api.http` smoke test (register -> login -> me)
- [ ] Ownership helper returns 404 (not 403) for cross-owner access

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 03 (Authentication), 05_"
Auth: register account,M2 — Authentication,"type:feature,module:auth","`POST /api/v1/auth/register` — create an account with email/password via ASP.NET Identity.

**Acceptance criteria**
- [ ] Valid email+password creates a user; 201/200 per house convention
- [ ] Duplicate email -> 409
- [ ] Weak/invalid input -> 400 problem-details
- [ ] PasswordHash managed by Identity; never logged
- [ ] Unit tests: success + each `Error`

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 03, 02 (User), 05, 12_"
Auth: login (access + refresh tokens),M2 — Authentication,"type:feature,module:auth","`POST /api/v1/auth/login` — issue JWT access token + refresh token for valid credentials.

**Acceptance criteria**
- [ ] Valid credentials -> access + refresh tokens
- [ ] Invalid credentials -> 401 (no user-enumeration leak)
- [ ] Access token signed with `Jwt__SigningKey` from env/secret store (>=32 chars)
- [ ] Token contains owner id claim used for ownership checks
- [ ] Unit tests: success + invalid-credential `Error`

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 03, 05_"
Auth: refresh token,M2 — Authentication,"type:feature,module:auth","`POST /api/v1/auth/refresh` — exchange a valid refresh token for a new access token (rotation per `05`).

**Acceptance criteria**
- [ ] Valid refresh token -> new access (+ rotated refresh)
- [ ] Revoked/expired refresh -> 401
- [ ] Reused/rotated token is rejected
- [ ] Unit tests cover rotation + rejection paths

**Definition of Done** (`13`): warnings-as-errors clean; `Result`/`Error` for business outcomes (no exceptions); `CancellationToken` propagated; structured logs, no secrets logged; required tests present (`12`).

_Refs: 03, 05 (refresh-token strategy)_"
